version,buildingId,x,y,floor,mx,my,mz,my_bias,mx_bias,mz_uncalib,mz_bias,my_uncalib,mx_uncalib,uploaddAt
Line_3_entrance_hall,e384f534f12c984588d8868e,625,195,0,45.259002685546875,-0.9610000252723694,59.69700241088867,-65.56300354003906,-16.069000244140625,-20.748001098632812,-80.44500732421875,-66.52400207519531,29.190000534057617,2024-06-17T11:43:08.901Z
Line_3_entrance_hall,e384f534f12c984588d8868e,560,210,0,43.99800109863281,0.23600001633167267,56.69300079345703,-65.56300354003906,-16.069000244140625,-22.266000747680664,-80.44400024414062,-66.8790054321289,28.571001052856445,2024-06-17T11:43:08.901Z
Line_3_entrance_hall,e384f534f12c984588d8868e,560,210,0,43.99800109863281,0.23600001633167267,56.69300079345703,-65.56300354003906,-16.069000244140625,-22.266000747680664,-80.44400024414062,-66.8790054321289,28.571001052856445,2024-06-17T11:43:08.901Z
Line_3_entrance_hall,e384f534f12c984588d8868e,565,260,0,43.928001403808594,-4.470000267028809,48.246002197265625,-65.56300354003906,-16.069000244140625,-32.198001861572266,-80.44400024414062,-70.03300476074219,27.85900115966797,2024-06-17T11:43:08.901Z
Line_3_entrance_hall,e384f534f12c984588d8868e,625,250,0,42.75800323486328,2.7770001888275146,53.20000076293945,-65.56200408935547,-16.069000244140625,-27.244001388549805,-80.44400024414062,-62.785003662109375,26.689001083374023,2024-06-17T11:43:08.901Z
Line_3_entrance_hall,e384f534f12c984588d8868e,685,215,0,42.165000915527344,-5.817000389099121,65.7800064086914,-65.56300354003906,-16.069000244140625,-14.664000511169434,-80.44400024414062,-71.3800048828125,26.09600067138672,2024-06-17T11:43:08.901Z
Line_3_entrance_hall,e384f534f12c984588d8868e,685,275,0,41.60000228881836,2.132000207901001,54.86100387573242,-65.56200408935547,-16.069000244140625,-25.5830020904541,-80.44400024414062,-63.43000411987305,25.531002044677734,2024-06-17T11:43:08.901Z
Line_3_entrance_hall,e384f534f12c984588d8868e,625,275,0,41.820003509521484,-1.0160000324249268,47.336002349853516,-65.56300354003906,-16.069000244140625,-33.108001708984375,-80.44400024414062,-66.5790023803711,25.751001358032227,2024-06-17T11:43:08.901Z
Line_3_entrance_hall,e384f534f12c984588d8868e,690,335,0,45.277000427246094,4.4810004234313965,59.9170036315918,-65.56200408935547,-16.069000244140625,-20.527000427246094,-80.44400024414062,-61.08100128173828,29.2080020904541,2024-06-17T11:43:08.901Z
Line_3_entrance_hall_2_stairs,e384f534f12c984588d8868e,622,398,0,46.33400344848633,6.460000514984131,57.11000442504883,-65.56200408935547,-16.07000160217285,-22.580001831054688,-80.44400024414062,-58.83200454711914,30.19300079345703,2024-06-17T11:54:53.382Z
Line_3_entrance_hall_2_stairs,e384f534f12c984588d8868e,622,383,0,51.923004150390625,-52.11100387573242,58.58500289916992,-65.56300354003906,-16.069000244140625,-22.95800018310547,-80.44500732421875,-117.46500396728516,36.6400032043457,2024-06-17T11:54:53.382Z
Line_3_entrance_hall_2_stairs,e384f534f12c984588d8868e,682,333,0,48.54300308227539,2.2820000648498535,55.09800338745117,-65.56200408935547,-16.07000160217285,-25.34600067138672,-80.44400024414062,-63.28000259399414,32.47300338745117,2024-06-17T11:54:53.382Z
Line_3_entrance_hall_2_stairs,e384f534f12c984588d8868e,627,333,0,43.6410026550293,2.196000099182129,56.39600372314453,-65.56200408935547,-16.069000244140625,-26.001001358032227,-80.44500732421875,-63.78400421142578,27.16200065612793,2024-06-17T11:54:53.382Z
Line_3_entrance_hall_2_stairs,e384f534f12c984588d8868e,557,338,0,43.079002380371094,7.639000415802002,48.19900131225586,-65.56200408935547,-16.069000244140625,-32.24500274658203,-80.44400024414062,-57.923004150390625,27.01000213623047,2024-06-17T11:54:53.382Z
Line_3_entrance_hall_2_stairs,e384f534f12c984588d8868e,557,368,0,46.21000289916992,6.823000431060791,46.82200241088867,-65.56200408935547,-16.069000244140625,-32.83100128173828,-80.44400024414062,-59.37700271606445,30.421001434326172,2024-06-17T11:54:53.382Z
Line_3_entrance_hall_2_stairs,e384f534f12c984588d8868e,557,308,0,42.98500061035156,15.369000434875488,47.345001220703125,-65.56200408935547,-16.069000244140625,-32.14800262451172,-80.44400024414062,-52.211002349853516,26.160001754760742,2024-06-17T11:54:53.382Z
Line_3_entrance_hall_stairs_around,e384f534f12c984588d8868e,502,308,0,41.50800323486328,7.017000198364258,51.82500076293945,-65.56200408935547,-16.069000244140625,-29.240001678466797,-80.44400024414062,-59.5160026550293,24.545001983642578,2024-06-17T11:57:47.291Z
Line_3_entrance_hall_stairs_around,e384f534f12c984588d8868e,452,308,0,47.9900016784668,17.43600082397461,60.6140022277832,-65.56200408935547,-16.069000244140625,-21.10900115966797,-80.44400024414062,-48.86900329589844,32.71600341796875,2024-06-17T11:57:47.291Z
Line_3_entrance_hall_stairs_around,e384f534f12c984588d8868e,447,338,0,49.958003997802734,7.039000511169434,56.44400405883789,-65.56200408935547,-16.069000244140625,-24.97800064086914,-80.44400024414062,-58.77700424194336,32.61800003051758,2024-06-17T11:57:47.291Z
Line_3_entrance_hall_stairs_around,e384f534f12c984588d8868e,447,363,0,44.81100082397461,2.328000068664551,58.90800094604492,-65.56200408935547,-16.07000160217285,-19.775001525878906,-80.44500732421875,-63.58200454711914,28.398000717163086,2024-06-17T11:57:47.291Z
Line_3_entrance_hall_stairs_around,e384f534f12c984588d8868e,502,368,0,41.156002044677734,11.108000755310059,58.87400436401367,-65.56200408935547,-16.069000244140625,-22.885000228881836,-80.44400024414062,-54.40800094604492,24.624000549316406,2024-06-17T11:57:47.291Z
Line_3_entrance_hall_left_classes,e384f534f12c984588d8868e,367,378,0,45.61600112915039,7.4720001220703125,61.439002990722656,-65.56200408935547,-16.069000244140625,-18.336000442504883,-80.44400024414062,-58.505001068115234,28.6200008392334,2024-06-17T12:02:59.384Z
Line_3_entrance_hall_left_classes,e384f534f12c984588d8868e,362,338,0,44.73200225830078,1.9250000715255737,49.525001525878906,-65.56200408935547,-16.069000244140625,-30.678001403808594,-80.44400024414062,-64.21900177001953,28.606000900268555,2024-06-17T12:02:59.384Z
Line_3_entrance_hall_left_classes,e384f534f12c984588d8868e,392,338,0,52.724002838134766,3.989000082015991,53.952003479003906,-65.56200408935547,-16.069000244140625,-26.464000701904297,-80.44500732421875,-62.38500213623047,35.56500244140625,2024-06-17T12:02:59.384Z
Line_3_entrance_hall_left_classes,e384f534f12c984588d8868e,367,298,0,50.10700225830078,-49.91100311279297,63.30000305175781,-65.56300354003906,-16.069000244140625,-18.64000129699707,-80.44400024414062,-116.39400482177734,33.47100067138672,2024-06-17T12:02:59.384Z
Line_3_entrance_hall_left_classes,e384f534f12c984588d8868e,327,283,0,46.27800369262695,-44.43600082397461,67.22200012207031,-65.56300354003906,-16.069000244140625,-11.92300033569336,-80.44500732421875,-109.67300415039062,30.599000930786133,2024-06-17T12:02:59.384Z
Line_3_entrance_hall_left_classes,e384f534f12c984588d8868e,327,338,0,42.669002532958984,4.410000324249268,50.8390007019043,-65.56200408935547,-16.069000244140625,-27.983001708984375,-80.44400024414062,-60.7390022277832,26.22300148010254,2024-06-17T12:02:59.384Z
Line_3_entrance_hall_left_classes,e384f534f12c984588d8868e,242,338,0,48.43700408935547,6.225000381469727,50.46000289916992,-65.56200408935547,-16.07000160217285,-30.71700096130371,-80.44400024414062,-60.256004333496094,31.143001556396484,2024-06-17T12:02:59.384Z
Line_3_entrance_hall_left_classes_extra,e384f534f12c984588d8868e,192,308,0,42.23800277709961,13.99000072479248,51.65900421142578,-65.56200408935547,-16.069000244140625,-28.785001754760742,-80.44400024414062,-51.57200241088867,26.16900062561035,2024-06-17T12:05:46.331Z
Line_3_entrance_hall_left_classes_extra,e384f534f12c984588d8868e,192,308,0,75.69200134277344,-1.3660000562667847,52.06100082397461,-65.56300354003906,-16.069000244140625,-28.178001403808594,-80.44400024414062,-66.64800262451172,58.87400436401367,2024-06-17T12:05:46.331Z
Line_3_entrance_hall_left_classes_extra,e384f534f12c984588d8868e,192,308,0,51.93100357055664,-55.297000885009766,52.04500198364258,-65.56300354003906,-16.07000160217285,-26.961000442504883,-80.44500732421875,-121.2350082397461,36.73800277709961,2024-06-17T12:05:46.331Z
Line_3_entrance_hall_left_classes_extra,e384f534f12c984588d8868e,192,308,0,20.351001739501953,-25.07000160217285,50.07400131225586,-65.56300354003906,-16.069000244140625,-30.3700008392334,-80.44400024414062,-90.63300323486328,4.2820000648498535,2024-06-17T12:05:46.331Z
Line_3_entrance_hall_left_classes_extra,e384f534f12c984588d8868e,177,333,0,44.75600051879883,10.954000473022461,54.52100372314453,-65.56200408935547,-16.07000160217285,-25.92300033569336,-80.44400024414062,-54.608001708984375,28.68600082397461,2024-06-17T12:05:46.331Z
Line_3_entrance_hall_left_classes_extra,e384f534f12c984588d8868e,137,333,0,42.040000915527344,6.904000282287598,50.957000732421875,-65.56200408935547,-16.069000244140625,-29.18600082397461,-80.44400024414062,-57.99700164794922,25.934001922607422,2024-06-17T12:05:46.331Z
Line_3_entrance_hall_left_classes_extra,e384f534f12c984588d8868e,137,383,0,40.80400085449219,9.072000503540039,57.20500183105469,-65.56200408935547,-16.069000244140625,-22.356000900268555,-80.44400024414062,-56.78000259399414,24.04800033569336,2024-06-17T12:05:46.331Z
